$ spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
metis,5.1.0,nvhpc@22.5,~gdb~int64~real64+shared build_type=Release patches=4991da9,cray-sles15-zen3,qxtdo74f6i4ldw7x5dmkbw7ki5u6bd7t
nano,4.9,gcc@11.2.0,,cray-sles15-zen3,3ajsqyzzkt32bezehyc2a2ig7mgkwe7z
nccmp,1.9.0.1,gcc@11.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen3,svlmonaxwv3ofjkux7oyifb6gz32d5p4
ncl,6.6.2,gcc@11.2.0,~gdal~hdf4+openmp+triangle+udunits2 patches=64f3502,a2f7ac8,a612d41,cray-sles15-zen3,zmspv5cdw76t2fvy6zmala4sxgrvx7sl
nco,5.0.1,gcc@11.2.0,~doc,cray-sles15-zen3,t4avmjna65d5tzlt3vmk5kkowq5gdrr6
ncview,2.1.8,gcc@11.2.0,,cray-sles15-zen3,5ujvhbdgv4mnnlysr2opxcke4y5c6lpb
nwchem,7.0.2,gcc@11.2.0,~mpipr~openmp,cray-sles15-zen3,hhxzzidjvrxvig4wxwo4fbqhx53ainah
openblas,0.3.20,gcc@11.2.0,~bignuma~consistent_fpcsr~ilp64+locking+pic+shared symbol_suffix=none threads=openmp,cray-sles15-zen3,lrsjselasw7dzvxuxr3k3xrrb4r43fiv
openpmd-api,0.14.4,gcc@11.2.0,~adios1+adios2+hdf5~ipo+mpi~python+shared build_type=RelWithDebInfo,cray-sles15-zen3,q4ob2r7j2trvjlaluwi37n26dlslxsix
parallel,20210922,gcc@11.2.0,,cray-sles15-zen3,arb2fpmq7xsldspyv77sz22kzpzcdlgv
parmetis,4.0.3,gcc@11.2.0,~gdb~int64~ipo+shared build_type=RelWithDebInfo patches=4f89253,50ed208,704b84f,cray-sles15-zen3,jdqvpwnnstzaosmup524jybblsu5t6dw
pdt,3.25.1,gcc@11.2.0,~pic,cray-sles15-zen3,4wzbhsadvu6upir6eowsqbymg2op3a5j
petsc,3.17.1,gcc@11.2.0,~X~batch~cgns~complex~cuda~debug+double~exodusii~fftw+fortran~giflib+hdf5~hpddm~hwloc+hypre~int64~jpeg~knl~kokkos~libpng~libyaml~memkind+metis~mkl-pardiso~mmg~moab~mpfr+mpi~mumps+openmp~p4est~parmmg~ptscotch~random123~rocm~saws~scalapack+shared+strumpack~suite-sparse+superlu-dist~tetgen~trilinos~valgrind clanguage=C,cray-sles15-zen3,z7wbk6nq72hpsjuu6g5i2mp5vbn7f6uu
plasma,21.8.29,gcc@11.2.0,~ipo~lua+shared build_type=RelWithDebInfo,cray-sles15-zen3,sht5ri2ngurpjs5cdgqd3ygu55iig7an
py-libensemble,0.9.1,gcc@10.3.0,~deap~mpi~mpmath~nlopt~petsc4py~pyyaml~scipy~tasmanian,cray-sles15-zen3,xy4w2mxn2rbcq7x2kza25wmxdckr24pq
py-warpx,22.05,gcc@11.2.0,+mpi,cray-sles15-zen3,nteuogz65hktyncu2llxji3xukebha7e
py-warpx,22.05,gcc@11.2.0,+mpi,cray-sles15-zen3,rmebedcp5g2sgs4jkyjejm6tnyj4sbkt
py-warpx,22.05,gcc@11.2.0,+mpi,cray-sles15-zen3,atxm4s3lhlpnoo2dha4uucopuvoenfbb
qthreads,1.16,gcc@11.2.0,+hwloc~spawn_cache+static scheduler=distrib stack_size=4096,cray-sles15-zen3,xsyqv4gbfwqskwottk5ipdkhxexwgngs
quantum-espresso,7.0,gcc@11.2.0,+cmake~elpa~environ+epw~gipaw~ipo~libxc+mpi~openmp+patch~qmcpack+scalapack build_type=RelWithDebInfo hdf5=none,cray-sles15-zen3,olvwavb6gpbbkztsbzkrinohre5h2a4o
raja,0.14.0,gcc@11.2.0,~cuda+examples+exercises~ipo+openmp~rocm+shared~tests build_type=RelWithDebInfo,cray-sles15-zen3,idylhfogirgstldd2qpjd3h4uotkkpss
slate,2021.05.02,gcc@11.2.0,~cuda~ipo+mpi+openmp~rocm+shared build_type=RelWithDebInfo,cray-sles15-zen3,eh6rahv47eeaho5fpbspere34glaq7cj
slepc,3.17.1,gcc@11.2.0,+arpack~blopex~cuda~rocm,cray-sles15-zen3,uetioli7i4pggbtc3ch4hf37en2imgsg
subversion,1.14.1,gcc@11.2.0,+nls~perl~serf,cray-sles15-zen3,fg7keqvjcbztsndfjalvlnz3yhmaqbkk
sundials,6.2.0,gcc@11.2.0,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL~cuda+examples+examples-install~f2003~fcmix+generic-math~hypre~int64~ipo~klu~lapack~magma~monitoring+mpi~openmp~petsc~profiling~pthread~raja~rocm+shared+static~superlu-dist~superlu-mt~sycl~trilinos build_type=RelWithDebInfo cstd=99 cxxstd=14 logging-level=0 precision=double,cray-sles15-zen3,kfepsitmg5js3iymiczg3kiadcrcu732
superlu,5.3.0,gcc@11.2.0,~ipo+pic build_type=RelWithDebInfo,cray-sles15-zen3,ziz42oao7nqubcfkooa5ogeaq4yw4o3q
tasmanian,7.7,gcc@11.2.0,~blas~cuda~fortran~ipo~magma~mpi+openmp~python~rocm~xsdkflags build_type=Release,cray-sles15-zen3,4yefyvtg6cg3dyws5ib7djgs6ubatcks
upcxx,2022.3.0,gcc@11.2.0,~cuda~gasnet~mpi~rocm cross=none,cray-sles15-zen3,yjru4k53btcuabc32d7ru4xsmg6uxwlv
vtk-m,1.7.1,gcc@11.2.0,~64bitids+ascent_types~cuda+doubleprecision~ipo~kokkos~logging~mpi+openmp+rendering~rocm~shared~tbb~testlib~virtuals build_type=Release,cray-sles15-zen3,zvu6y2si7mkepejhvmnl6jzcc3mr3xbi
xterm,353,gcc@11.2.0,,cray-sles15-zen3,s6hwjyjyiiqmwbem5rzdbqp2lpswz4u5
