$ spack find --format "{name},{version},{compiler},{variants},{arch}"
camp,0.1.0,gcc@9.3.0,+cuda~ipo~rocm~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,linux-opensuse_leap15-x86_64
chai,2.3.0,gcc@9.3.0,~benchmarks~cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,linux-opensuse_leap15-x86_64
chai,2.3.0,gcc@9.3.0,~benchmarks+cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=70,linux-opensuse_leap15-x86_64
cinch,master,gcc@9.3.0,,linux-opensuse_leap15-x86_64
cmake,3.20.2,gcc@9.3.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,linux-opensuse_leap15-x86_64
comgr,4.2.0,gcc@9.3.0,~ipo build_type=Release patches=4dda4b3dcd61df74050076881e102c6f4ec637ea8f35a3a4e7079b8a4fa9af4c,linux-opensuse_leap15-x86_64
conduit,0.7.2,gcc@9.3.0,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
conduit,0.7.2,gcc@9.3.0,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
cub,1.12.0-rc0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
cuda,11.3.0,gcc@9.3.0,~dev,linux-opensuse_leap15-x86_64
curl,7.76.0,gcc@9.3.0,~darwinssl~gssapi~libssh~libssh2~nghttp2,linux-opensuse_leap15-x86_64
darshan-runtime,3.3.0,gcc@9.3.0,~apmpi~apmpi_sync~apxc~cobalt~hdf5+mpi~pbs~slurm,linux-opensuse_leap15-x86_64
darshan-util,3.3.0,gcc@9.3.0,~apmpi~apxc~bzip2+shared,linux-opensuse_leap15-x86_64
diffutils,3.7,gcc@9.3.0,,linux-opensuse_leap15-x86_64
double-conversion,2.0.1,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
dtcmp,1.1.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
dyninst,11.0.0,gcc@9.3.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
dyninst,11.0.0,gcc@9.3.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
elfutils,0.182,gcc@9.3.0,+bzip2~debuginfod~nls+xz,linux-opensuse_leap15-x86_64
er,0.0.4,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
exmcutils,0.6.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
expat,2.2.10,gcc@9.3.0,+libbsd,linux-opensuse_leap15-x86_64
faodel,1.1906.1,gcc@9.3.0,~cereal~hdf5~ipo+mpi+shared+tcmalloc build_type=RelWithDebInfo logging=stdout network=nnti patches=0d8604c48c421da1a28e5c23493a55c367fc39ebdf054f2978b4b6f2108bef91,823eff7668eb4ac2bac4b2b337d9edbeb486d60fc5a98177e9c9b1883159ef68,linux-opensuse_leap15-x86_64
fftw,3.3.9,gcc@9.3.0,+mpi~openmp~pfft_patches precision=double,float,linux-opensuse_leap15-x86_64
findutils,4.8.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
flecsi,1.4,gcc@9.3.0,~caliper+cinch~coverage~debug_backend~doc~doxygen~flecstan~flog~graphviz+hdf5~ipo~minimal+shared~tutorial backend=mpi build_type=Release,linux-opensuse_leap15-x86_64
flex,2.6.3,gcc@9.3.0,+lex~nls,linux-opensuse_leap15-x86_64
flit,2.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
font-util,1.3.2,gcc@9.3.0, fonts=encodings,font-adobe-100dpi,font-adobe-75dpi,font-adobe-utopia-100dpi,font-adobe-utopia-75dpi,font-adobe-utopia-type1,font-alias,font-arabic-misc,font-bh-100dpi,font-bh-75dpi,font-bh-lucidatypewriter-100dpi,font-bh-lucidatypewriter-75dpi,font-bh-type1,font-bitstream-100dpi,font-bitstream-75dpi,font-bitstream-speedo,font-bitstream-type1,font-cronyx-cyrillic,font-cursor-misc,font-daewoo-misc,font-dec-misc,font-ibm-type1,font-isas-misc,font-jis-misc,font-micro-misc,font-misc-cyrillic,font-misc-ethiopic,font-misc-meltho,font-misc-misc,font-mutt-misc,font-schumacher-misc,font-screen-cyrillic,font-sun-misc,font-winitzki-cyrillic,font-xfree86-type1,linux-opensuse_leap15-x86_64
fontconfig,2.13.93,gcc@9.3.0,,linux-opensuse_leap15-x86_64
fontsproto,2.1.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
freetype,2.10.4,gcc@9.3.0,,linux-opensuse_leap15-x86_64
gasnet,2021.3.0,gcc@9.3.0,~debug conduits=smp,linux-opensuse_leap15-x86_64
gawk,5.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
