spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
alquimia,1.0.10,gcc@11.2.0,~ipo+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,vela322byy4lwyxdtzmwod2hiycw3psc
aml,0.2.0,gcc@11.2.0,~cuda~hip~hwloc~opencl~ze build_system=autotools hip-platform=none,linux-sles15-zen3,dzrvltdzrinvi5ps73jmxco3fsevwc2l
amrex,23.05,gcc@11.2.0,~amrdata~cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=Release dimensions=3 generator=make precision=double,linux-sles15-zen3,3melsjarv6jhdafqbeegy5243jbkfhsb
arborx,1.3,gcc@11.2.0,~cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=Release cxxstd=17 generator=make,linux-sles15-zen3,mr7ceay37jr6xaljuutsrcjpspgvu5xz
argobots,1.1,gcc@11.2.0,~affinity~debug+perf~stackunwind~tool~valgrind build_system=autotools stackguard=none,linux-sles15-zen3,5zlle2qkucopqngtfvtdxurg6kznl557
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,n56hd3wy3emfw5ji6zjy5prpqxdf6nfs
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,ygaxfzwbdzjwsiam6p26vdqbs7m7p55s
bolt,2.0,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,virsttp2nhme2l3zrky2prvrmnhovnxw
boost,1.82.0,gcc@11.2.0,~atomic~chrono~clanglibcpp~container~context~contract~coroutine~date_time~debug~exception~fiber~filesystem~graph~graph_parallel~icu~iostreams~json~locale~log~math~mpi+multithreaded~nowide~numpy~pic~program_options~python~random~regex~serialization+shared~signals~singlethreaded~stacktrace~system~taggedlayout~test~thread~timer~type_erasure~versionedlayout~wave build_system=generic cxxstd=98 patches=a440f96,a7c807f visibility=hidden,linux-sles15-zen3,samvyoyy4w7plr5hajq34r675nqydq55
butterflypack,2.2.2,gcc@11.2.0,~ipo+openmp+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,2cq5ap6sz36cygziv2e2qu5z3qcrljby
cabana,0.5.0,gcc@11.2.0,~arborx~cajita~cuda~examples~heffte~hypre~ipo+mpi~openmp~openmptarget~performance_testing~pthread~rocm+serial+shared~silo~sycl~testing build_system=cmake build_type=Release generator=make,linux-sles15-zen3,fwxgskfhaw7fvrdx43zhlktgmmf3hg4y
caliper,2.9.0,gcc@11.2.0,+adiak~cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow build_system=cmake build_type=Release generator=make patches=7b1ffa4,linux-sles15-zen3,anocm25ref22l5ppc27kgavpz4jgjhre
cdo,2.1.1,gcc@11.2.0,~curl~external-grib1+fftw3+hdf5+libxml2~magics+netcdf+openmp+proj+szip+udunits2 build_system=autotools grib2=eccodes,linux-sles15-zen3,dtsekqgz55gupvb7m6uhe42g6pymwogt
chai,2022.03.0,gcc@11.2.0,~benchmarks~cuda~enable_pick+examples~ipo~openmp~raja~rocm+shared~tests build_system=cmake build_type=Release generator=make,linux-sles15-zen3,jofpmpf6bd3sc2z7ajpu5v3yyvkzns77
chapel,1.24.1,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,fxbqho6bdn3dculx24yx3xeqtnk3lruo
cmake,3.26.3,gcc@11.2.0,~doc+ncurses~ownlibs~qt build_system=generic build_type=Release,linux-sles15-zen3,j6xprhqvjwkyngr534kqdxnp5uhwf6j4
datatransferkit,3.1-rc3,gcc@11.2.0,~external-arborx~ipo~openmp+serial+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,yadexsnnkcnxjpc5my73mwu5vitzdqqu
dyninst,12.3.0,gcc@11.2.0,~ipo+openmp~stat_dysect~static build_system=cmake build_type=Release generator=make,linux-sles15-zen3,n6owe5ej6gsssjfjf3houxeoj645todq
fftw,3.3.10,gcc@11.2.0,+mpi~openmp~pfft_patches build_system=autotools precision=double,float,linux-sles15-zen3,36sszom66i4fe3whlihz2qdlgw6mo63i
flecsi,2.2.0,gcc@11.2.0,~cuda~doc~flog~graphviz+hdf5~ipo~kokkos~openmp~rocm+shared backend=mpi build_system=cmake build_type=Release caliper_detail=none generator=make,linux-sles15-zen3,ev6tccxcq6kdwk6cm3lxokxvmqmqbw7d
flit,2.1.0,gcc@11.2.0, build_system=makefile,linux-sles15-zen3,ktlejowm5tptw33wdvspc5pw5de357yo
fortrilinos,2.2.0,gcc@11.2.0,+hl~ipo+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,exn4len2sp4og4e5rhwfmugcusena2ci
gawk,5.2.1,gcc@11.2.0,~nls build_system=autotools,linux-sles15-zen3,tc3fqrfya4julpcft4mbbxxx4pcjm57m
