spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
adios2,2.8.3,gcc@11.2.0,+blosc+bzip2+cuda~dataspaces+fortran~hdf5~ipo~libpressio+mpi~pic+png~python+ssc+sst+sz+zfp build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,i46do2dd42m73iafhkauxv3hihdiqt5k
amrex,23.05,gcc@11.2.0,~amrdata+cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=Release cuda_arch=80 dimensions=3 generator=make precision=double,linux-sles15-zen3,yux4fws3bq7annnfbqncd5lhoe66hf37
arborx,1.3,gcc@11.2.0,+cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=Release cuda_arch=80 cxxstd=17 generator=make,linux-sles15-zen3,xscg2y2mttw65cxnktwq2niwx44sc4hl
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,n56hd3wy3emfw5ji6zjy5prpqxdf6nfs
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,ygaxfzwbdzjwsiam6p26vdqbs7m7p55s
cabana,0.5.0,gcc@11.2.0,~arborx~cajita+cuda~examples~heffte~hypre~ipo+mpi~openmp~openmptarget~performance_testing~pthread~rocm+serial+shared~silo~sycl~testing build_system=cmake build_type=Release generator=make,linux-sles15-zen3,k3zbfjnnjt32h5yx6w7wajnzyhxnya66
caliper,2.9.0,gcc@11.2.0,+adiak+cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow build_system=cmake build_type=Release cuda_arch=80 generator=make patches=7b1ffa4,linux-sles15-zen3,uu2eq7rqp3oirog4btrggfo3evra7pta
chai,2022.03.0,gcc@11.2.0,~benchmarks+cuda~enable_pick+examples~ipo~openmp~raja~rocm+shared~tests build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,ducvqshbx73au7gqu6bx5awiwqkbtoh7
cmake,3.26.3,gcc@11.2.0,~doc+ncurses~ownlibs~qt build_system=generic build_type=Release,linux-sles15-zen3,j6xprhqvjwkyngr534kqdxnp5uhwf6j4
cusz,0.3,gcc@11.2.0,+cuda~ipo build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,n26zzfv52iab5kjnhwoumqnacfxeqy5w
fftw,3.3.10,gcc@11.2.0,+mpi~openmp~pfft_patches build_system=autotools precision=double,float,linux-sles15-zen3,36sszom66i4fe3whlihz2qdlgw6mo63i
flecsi,2.2.0,gcc@11.2.0,+cuda~doc~flog~graphviz+hdf5~ipo~kokkos~openmp~rocm+shared backend=mpi build_system=cmake build_type=Release caliper_detail=none cuda_arch=80 generator=make,linux-sles15-zen3,3mqnnra42tkopq2z4yc2ejmog63sytwi
ginkgo,1.5.0,gcc@11.2.0,+cuda~develtools~full_optimizations~hwloc~ipo~mpi~oneapi+openmp~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,usmbb2dgoopv6raal5clszkk372xsm46
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk build_system=autotools,linux-sles15-zen3,3dteigpvssy3vuha6xpj266vzgtx7l2z
gmake,4.4.1,gcc@11.2.0,~guile build_system=autotools,linux-sles15-zen3,6b72ibntxvoxfjc3vs32fsm3wlxccjgu
hdf5,1.14.1-2,gcc@11.2.0,~cxx+fortran+hl~ipo~java~map+mpi+shared~szip~threadsafe+tools api=v18 build_system=cmake build_type=Release generator=make,linux-sles15-zen3,poditdtvjbpstv67rloti4pjrqm7h3ap
heffte,2.3.0,gcc@11.2.0,+cuda~fftw~fortran~ipo~magma~mkl~python~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,ignhzkhqswdnugq4zlx76oi7oblrtugq
