spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
mfem,4.5.2,gcc@11.2.0,~amgx~conduit+cuda~debug~examples~exceptions~fms~ginkgo~gnutls~gslib~hiop~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~rocm~shared~slepc+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib build_system=generic cuda_arch=80 timer=auto,linux-sles15-zen3,xjgkrbobyv26afqd2sjrqonhau2zx2oe
omega-h,9.34.13,gcc@11.2.0,+cuda~examples~gmsh~ipo~kokkos+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,yudomqgapmdiw2q5q4uzcwbuy6gz45ch
papi,6.0.0.1,gcc@11.2.0,+cuda+example~infiniband~lmsensors~nvml~powercap~rapl~rocm~rocm_smi~sde+shared~static_tools build_system=autotools,linux-sles15-zen3,d4urxy4sckeqn22mmd5jwijgfkm7wkav
parsec,3.0.2209,gcc@11.2.0,+cuda~debug_verbose~ipo~profile+shared build_system=cmake build_type=RelWithDebInfo cuda_arch=80 generator=make,linux-sles15-zen3,b7aapwehlncukgoco4fw7yi4gw3ewemq
pdt,3.25.1,gcc@11.2.0,~pic build_system=autotools,linux-sles15-zen3,7hzimxon6fk5b44dvvzfl3exngbead5b
petsc,3.19.4,gcc@11.2.0,~X~batch~cgns~complex+cuda~debug+double~exodusii~fftw+fortran~giflib+hdf5~hpddm~hwloc+hypre~int64~jpeg~knl~kokkos~libpng~libyaml~memkind+metis~mkl-pardiso~mmg~moab~mpfr+mpi~mumps+openmp~p4est~parmmg~ptscotch~random123~rocm~saws~scalapack+shared+strumpack~suite-sparse+superlu-dist~tetgen~trilinos~valgrind build_system=generic clanguage=C cuda_arch=80,linux-sles15-zen3,xr7rrubaru3nuvoncnh2k66keymqbfr4
slate,2022.07.00,gcc@11.2.0,+cuda~ipo+mpi+openmp~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,p5zvxd3xwde37gj63lysyuiwdb6o7qus
slepc,3.19.1,gcc@11.2.0,+arpack~blopex+cuda~hpddm~rocm build_system=generic cuda_arch=80,linux-sles15-zen3,5yc4ekn75wnta7ecpn7d3nswkgjdtepd
strumpack,7.1.3,gcc@11.2.0,~butterflypack+c_interface~count_flops+cuda~ipo+mpi+openmp+parmetis~rocm~scotch+shared~slate~task_timers+zfp build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,l4jit5edwof5inq7ljyd6gqa6jqvjrhw
sundials,6.5.1,gcc@11.2.0,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL+cuda+examples+examples-install~f2003~fcmix+generic-math~ginkgo~hypre~int64~ipo~klu~kokkos~kokkos-kernels~lapack~magma~monitoring+mpi~openmp~petsc~profiling~pthread~raja~rocm+shared+static~superlu-dist~superlu-mt~sycl~trilinos build_system=cmake build_type=Release cstd=99 cuda_arch=80 cxxstd=14 generator=make logging-level=0 logging-mpi=OFF precision=double,linux-sles15-zen3,nxpwrp5xa2g6y6tuds732qfu4jj55q57
superlu-dist,8.1.2,gcc@11.2.0,+cuda~int64~ipo+openmp~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,eiaee3gellzny22wfihjlfgphihyfkyn
tasmanian,7.9,gcc@11.2.0,~blas+cuda~fortran~ipo~magma~mpi~openmp~python~rocm~xsdkflags build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,gztiqdso2y3fjspcquljlu75muhp32h6
tau,2.32.1,gcc@11.2.0,~adios2+binutils~comm~craycnl+cuda+elf+fortran~gasnet+io~level_zero+libdwarf+libunwind~likwid+mpi~ompt~opari~opencl~openmp+otf2+papi+pdt~phase~ppc64le~profileparam+pthreads~python~rocm~rocprofiler~roctracer~scorep~shmem~sqlite~x86_64 build_system=generic,linux-sles15-zen3,wx77lvdrhzmxtp36s6pun55gbi36frjj
umpire,2022.03.1,gcc@11.2.0,+c+cuda+device_alloc~deviceconst+examples~fortran~ipo~numa~openmp~rocm~shared build_system=cmake build_type=Release cuda_arch=80 generator=make tests=none,linux-sles15-zen3,ulyyzrknx5htinzbxca7jyhkwvjzsu66
upcxx,2023.3.0,gcc@11.2.0,+cuda~gasnet~level_zero~mpi~rocm build_system=generic cross=none cuda_arch=80,linux-sles15-zen3,57lwuvust3vwk4pof2jr2cipltfcxkrd
