$ spack find --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
slepc,3.16.0,gcc@11.2.0,+arpack~blopex~cuda~rocm amdgpu_target=none cuda_arch=none,cray-sles15-zen3,zingq3yzrx25culkc47eivvv2w7bo2q3
slepc,3.16.0,gcc@11.2.0,+arpack~blopex+cuda~rocm amdgpu_target=none cuda_arch=80,cray-sles15-zen3,hd2frqrnc7e36rj522pcktnecictjxdz
sundials,5.8.0,gcc@11.2.0,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL~cuda+examples+examples-install~f2003~fcmix+generic-math+hypre~int64~ipo~klu~lapack~monitoring+mpi+openmp~petsc~pthread~raja~rocm+shared+static~superlu-dist~superlu-mt~sycl~trilinos amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none precision=double,cray-sles15-zen3,pb7kcew7zy2li5zoc7gbyftkd4a5mpj2
superlu,5.3.0,gcc@11.2.0,~ipo+pic build_type=RelWithDebInfo,cray-sles15-zen3,pio2jf2ule3b77kfvano5fu2crumrmp5
swig,4.0.2,gcc@11.2.0,,cray-sles15-zen3,rxwxbrwjjslam5ubuhlrfuxkhidmqwqw
tau,2.31,gcc@11.2.0,~adios2+binutils~comm~craycnl~cuda+elf+fortran~gasnet+io~level_zero+libdwarf+libunwind~likwid+mpi~ompt~opari~opencl~openmp+otf2+papi+pdt~phase~ppc64le~profileparam+pthreads+python~rocm~rocprofiler~roctracer~scorep~shmem~sqlite~x86_64,cray-sles15-zen3,lwk6d7cbsri235hzgu3qkz3azjxciofc
trilinos,13.0.1,gcc@11.2.0,~adios2+amesos+amesos2+anasazi+aztec~basker+belos+boost~chaco~complex~cuda~cuda_rdc~debug~dtk+epetra+epetraext~epetraextbtf~epetraextexperimental~epetraextgraphreorderings~exodus+explicit_template_instantiation~float+fortran~gtest~hdf5~hypre+ifpack+ifpack2+intrepid+intrepid2~ipo+isorropia+kokkos~mesquite+minitensor+ml+mpi+muelu~mumps+nox~openmp+phalanx+piro~python+rol+rythmos+sacado~scorec+shards+shared+shylu+stk+stokhos+stratimikos~strumpack~suite-sparse~superlu+superlu-dist+teko+tempus+tpetra+trilinoscouplings~wrapper~x11+zoltan+zoltan2 build_type=RelWithDebInfo cuda_arch=none cxxstd=14 gotype=long_long,cray-sles15-zen3,kl6ljquvdmiphf4h7glyvtwe6zwi4s3r
umap,2.1.0,gcc@11.2.0,~ipo~logging~tests build_type=RelWithDebInfo,cray-sles15-zen3,j6ixsr6p7yvidmre3jc2rha4enhigdk6
umpire,6.0.0,gcc@11.2.0,+c+cuda~deviceconst+examples~fortran~ipo~numa~openmp~rocm~shared amdgpu_target=none build_type=RelWithDebInfo cuda_arch=80 tests=none,cray-sles15-zen3,v7iisvod47rezjv3sczft6wz2cjpylqw
umpire,6.0.0,nvhpc@21.11,+c+cuda~deviceconst+examples~fortran~ipo~numa~openmp~rocm~shared amdgpu_target=none build_type=RelWithDebInfo cuda_arch=80 tests=none,cray-sles15-zen3,7lhfpug3d455u7hoc3ggfzztms6t7mrf
upcxx,2021.9.0,gcc@11.2.0,~cuda+gasnet+mpi cross=none,cray-sles15-zen3,ftltznebd4wthrjwfgoov7mw2tuwk2cj
upcxx,2021.9.0,gcc@11.2.0,+cuda~gasnet~mpi cross=none,cray-sles15-zen3,kh6qph6wdfhohs3ra3aprybeumhkkghb
upcxx,2021.9.0,nvhpc@21.11,+cuda~gasnet~mpi cross=none,cray-sles15-zen3,yvxtu6m4j63k62i53l7nykosvumfw2dn
zfp,0.5.5,gcc@11.2.0,~aligned~c+cuda~fasthash~fortran~ipo~openmp~profile~python+shared~strided~twoway bsws=64 build_type=RelWithDebInfo cuda_arch=80,cray-sles15-zen3,s54bixpx75d5mzx5xi3vy5ibjmak6oih
zfp,0.5.5,nvhpc@21.11,~aligned~c+cuda~fasthash~fortran~ipo~openmp~profile~python+shared~strided~twoway bsws=64 build_type=RelWithDebInfo cuda_arch=80,cray-sles15-zen3,fyjshe7iw2kcxpq2quikntqqe63a675k

