$ spack find --format "{name},{version},{compiler},{variants},{arch}"
adiak,0.2.1,gcc@11.2.0,~ipo+mpi+shared build_type=RelWithDebInfo,cray-cnl7-haswell
adiak,0.2.1,intel@19.1.2.254,~ipo+mpi+shared build_type=RelWithDebInfo,cray-cnl7-haswell
adios2,2.7.1,gcc@11.2.0,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release patches=8d301e8232baf4049b547f22bd73774309662017a62dac36360d2965907062bf,cray-cnl7-haswell
adios2,2.7.1,intel@19.1.2.254,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release patches=8d301e8232baf4049b547f22bd73774309662017a62dac36360d2965907062bf,cray-cnl7-haswell
adlbx,1.0.0,gcc@11.2.0,,cray-cnl7-haswell
adlbx,1.0.0,intel@19.1.2.254,,cray-cnl7-haswell
aml,0.1.0,gcc@11.2.0,,cray-cnl7-haswell
amrex,22.02,gcc@11.2.0,~amrdata~cuda~eb+fortran~hdf5+hypre~ipo+linear_solvers+mpi+openmp~particles~petsc~pic~plotfile_tools~rocm+shared~sundials~tiny_profile build_type=RelWithDebInfo dimensions=3 precision=double,cray-cnl7-haswell
ant,1.10.7,gcc@11.2.0,,cray-cnl7-haswell
antlr,2.7.7,gcc@11.2.0,+cxx~java~python patches=33897ad12ad33878daa0aca55c9a234ec972407eb2b6c03808f6ed020c88b8db,cray-cnl7-haswell
arborx,1.1,gcc@11.2.0,~cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_type=RelWithDebInfo,cray-cnl7-haswell
arborx,1.1,intel@19.1.2.254,~cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_type=RelWithDebInfo,cray-cnl7-haswell
argobots,1.1,gcc@11.2.0,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-cnl7-haswell
argobots,1.1,intel@19.1.2.254,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-cnl7-haswell
arpack-ng,3.8.0,intel@19.1.2.254,+mpi+shared,cray-cnl7-haswell
asio,1.21.0,gcc@11.2.0,~boost_coroutine~boost_regex~separate_compilation cxxstd=17,cray-cnl7-haswell
autoconf,2.69,gcc@11.2.0, patches=35c449281546376449766f92d49fc121ca50e330e60fefcfc9be2af3253082c2,7793209b33013dc0f81208718c68440c5aae80e7a1c4b8d336e382525af791a7,a49dd5bac3b62daa0ff688ab4d508d71dbd2f4f8d7e2a02321926346161bf3ee,cray-cnl7-haswell
autoconf,2.69,intel@19.1.2.254, patches=35c449281546376449766f92d49fc121ca50e330e60fefcfc9be2af3253082c2,7793209b33013dc0f81208718c68440c5aae80e7a1c4b8d336e382525af791a7,a49dd5bac3b62daa0ff688ab4d508d71dbd2f4f8d7e2a02321926346161bf3ee,cray-cnl7-haswell
automake,1.16.5,gcc@11.2.0,,cray-cnl7-haswell
automake,1.16.5,intel@19.1.2.254,,cray-cnl7-haswell
axl,0.3.0,gcc@11.2.0,+bbapi~bbapi_fallback~dw~ipo+shared async_api=daemon build_type=RelWithDebInfo,cray-cnl7-haswell
axl,0.3.0,intel@19.1.2.254,+bbapi~bbapi_fallback~dw~ipo+shared async_api=daemon build_type=RelWithDebInfo,cray-cnl7-haswell
