$ spack find --format "{name},{version},{compiler},{variants},{arch}"
adiak,0.1.1,intel@19.1.2.254,~ipo+mpi+shared build_type=RelWithDebInfo,cray-cnl7-haswell
adios2,2.7.1,intel@19.1.2.254,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-cnl7-haswell
adios2,2.7.1,intel@19.1.2.254,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran+hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-cnl7-haswell
adlbx,0.9.2,intel@19.1.2.254,,cray-cnl7-haswell
aml,0.1.0,intel@19.1.2.254,,cray-cnl7-haswell
arborx,0.9-beta,intel@19.1.2.254,~cuda~hip~ipo+mpi+openmp+serial~trilinos build_type=RelWithDebInfo,cray-cnl7-haswell
argobots,1.0,intel@19.1.2.254,~debug~valgrind,cray-cnl7-haswell
arpack-ng,3.8.0,intel@19.1.2.254,+mpi+shared,cray-cnl7-haswell
binutils,2.33.1,intel@19.1.2.254,+gold+headers~interwork~ld+libiberty~lto+nls~plugins,cray-cnl7-haswell
blaspp,2020.10.02,gcc@10.1.0,~cuda~ipo+openmp+shared build_type=RelWithDebInfo cuda_arch=none,cray-cnl7-haswell
bolt,2.0,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
boost,1.75.0,intel@19.1.2.254,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=17 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-cnl7-haswell
